Question,Option1,Option2,Option3,Option4,CorrectIndex
Who is the father of C language?,Dennis Ritchie,Bjarne Stroustrup,James Gosling,Guido van Rossum,1
What is the extension of a C program file?,.c,.cpp,.java,.exe,1
Which keyword is used to define a constant in C?,const,final,define,static,1
C is a ___ language.,Interpreted,Assembly,Compiled,Machine-dependent,3
What is the size of an `int` in C (on a 32-bit system)?,16 bytes,2 bytes,4 bytes,8 bytes,3
Which of the following is a valid character in C?,"""A""",'A',"""Java""",10,2
What is the value of `sizeof(char)` in C?,1,2,4,8,1
"What will be the output of `printf(""%d"", 5 / 2);`?",Compilation Error,1010,10+10,2,4
Which operator is used for comparison in C?,!=,=,==,&&,3
What is the result of `5 % 2` in C?,2,3,5,1,4
How do you declare a pointer in C?,int *ptr;,int ptr;,pointer<int> ptr;,ptr *int;,1
What is the loop structure that ensures execution at least once?,for,while,do-while,repeat,3
How many times will `for(int i = 0; i < 5; i--)` execute?,1,2,3,Infinite,4
Which storage class is the default in C?,auto,register,static,extern,1
What will `return` statement do in a function?,Return a value,Exit function,Stop execution,Break the program,1
Which of the following is not a valid identifier?,main,int,_var,myFunc,2
Which loop is used to iterate over an array efficiently?,for,while,do-while,Infinite loop,1
What is `typedef` used for in C?,Define a new data type,Allocate memory,Return function values,Handle pointers,1
What is an array in C?,A function,An instance,A class definition,A data structure,4
Which keyword is used for dynamic memory allocation?,malloc,new,allocate,mem_alloc,1
